Location Name,Address,Phone Number,Google Maps URL,Lat,Long,BusinessType
PCC Aurora,"7504 Aurora Ave N, Seattle, WA 98103",12065253586,https://g.page/pccgreenlakeaurora?share,47.683521,-122.34333,Grocery Store
PCC Ballard,"1451 NW 46th St, Seattle, WA 98107",12065380130,https://g.page/pccballard?share,47.66184,-122.37491,Grocery Store
PCC Bothell,"22621 Bothell Everett Hwy, Bothell, WA 98021",14254920122,https://g.page/pccbothell?share,47.79276,-122.21439,Grocery Store
PCC Burien,"15840 1st Ave S, Burien, WA 98148",12067086908,https://g.page/PCCBurien?share,47.46107,-122.33179,Grocery Store
PCC Columbia City,"3610 S Edmunds St, Seattle, WA 98118",12064666182,https://g.page/PCCColumbiaCity?share,47.55884,-122.28689,Grocery Store
PCC Edmonds,"9803 Edmonds Way, Edmonds, WA 98020",14252759036,https://g.page/PCCEdmonds?share,47.7915995427906,-122.365304468063,Grocery Store
PCC Fremont,"600 N 34th St, Seattle, WA 98103",12066326811,https://g.page/PCCFremont?share,47.6499941548751,-122.350259825377,Grocery Store
PCC Greenlake Aurora,"7504 Aurora Ave N, Seattle, WA 98103",12065253586,https://g.page/pccgreenlakeaurora?share,47.6838079348758,-122.343631761609,Grocery Store
PCC Greenlake Village,"450 NE 71st St, Seattle, WA 98115",12067295075,https://g.page/PCCGreenLakeVillage?share,47.6803897296474,-122.322471129074,Grocery Store
PCC Issaquah,"1810 12th Ave NW, Issaquah, WA 98027",14253691222,https://g.page/PCCIssaquah?share,47.5517682493276,-122.056130703756,Grocery Store
PCC Redmond,"11435 Avondale Rd NE, Redmond, WA 98052",14252851400,https://g.page/PCCRedmond?share,47.7017720915016,-122.092847213731,Grocery Store
PCC View Ridge,"6514 40th Ave NE, Seattle, WA 98115",12065267661,https://g.page/PCCViewRidge?share,47.6763296295789,-122.284109595992,Grocery Store
PCC West Seattle,"2749 California Ave SW, Seattle, WA 98116",12064857185,https://g.page/PCCWestSeattle?share,47.5778851301248,-122.386671334625,Grocery Store
Whole Foods Broadway,"1001 Broadway, Seattle, WA 98122",12068023720,https://goo.gl/maps/uhg1VuG67Joi4dcFA,47.6115186738974,-122.320801330926,Grocery Store
Whole Foods Interbay,"2001 15th Ave W, Seattle, WA 98119",12063525440,https://goo.gl/maps/Qdaiojy1VkXcTPDz9,47.6373364896985,-122.376537390445,Grocery Store
Whole Foods Lynwood,"2800 Sw, 196th St SW Ste 100, Lynnwood, WA 98036",14257751320,https://goo.gl/maps/7aoa5MdQwfooRoww9,47.8200608754079,-122.271847163454,Grocery Store
Whole Foods Redmond,"17991 Redmond Way, Redmond, WA 98052",14258812600,https://goo.gl/maps/2sCHax5k8AdVnYkq5,47.6663338614049,-122.100994644417,Grocery Store
Whole Foods Roosevelt Square,"1026 NE 64th St, Seattle, WA 98115",12069851500,https://goo.gl/maps/Rg1vbP1UfXjazQWY9,47.6755140246432,-122.315862838321,Grocery Store
Whole Foods West Seattle,"4755 Fauntleroy Way SW Ste 190, Seattle, WA 98116",12063385060,https://goo.gl/maps/Ft2xdH6LUfv2ki6p8,47.5602276189505,-122.381521275105,Grocery Store
Whole Foods Westlake,"2210 Westlake Ave, Seattle, WA 98121",12066219700,https://goo.gl/maps/m3wdoQPhtj3bKdh8A,47.6184560498769,-122.336947864008,Grocery Store
Whole Foods- Madison/Bway,"1001 Broadway, Seattle, WA 98122",12068023720,https://goo.gl/maps/wJXzAJsLC12jdvx76,47.611540372553,-122.320415092844,Grocery Store
Haggen Fairhaven,"1401 12th St, Bellingham, WA 98225",13607334370,https://goo.gl/maps/xvGWDwYdL2UQEpJX8,48.7192047382727,-122.500994576922,Grocery Store
Haggen Sehome,"210 36th St, Bellingham, WA 98225",13606761996,https://goo.gl/maps/wmGpZBKsbe4PWg7W9,48.732731384816,-122.471376903908,Grocery Store
Haggen Ferndale,"1815 Main St, Ferndale, WA 98248",13603809000,https://goo.gl/maps/jGnwkuH6rPcVnHVi9,48.8432081061758,-122.580335651781,Grocery Store
Haggen Meridian,"2814 Meridian St, Bellingham, WA 98225",13606713300,https://goo.gl/maps/wDYdUJerMM6qcMZE7,48.7679002378178,-122.484000892263,Grocery Store
Haggen Barkley,"2900 Woburn St, Bellingham, WA 98226",13606765300,https://goo.gl/maps/dhTYNKSkSpF3HXBx7,48.7693138906101,-122.443713436989,Grocery Store
Fred Meyer Lakeway,"800 Lakeway Drive, Bellingham, WA 98225",13606761102,https://goo.gl/maps/8TPmvhv1qzmQ1z7E7,48.7436181943057,-122.463643321839,Grocery Store
Fred Meyer Bakerview,"1225 W Bakerview Rd, Bellingham, WA 98226",13607882900,https://goo.gl/maps/Rpos9gL8N2RYQrNs6,48.7888063361707,-122.511349211304,Grocery Store
Elizabeth Station,"1400 W Holly St, Bellingham, WA 98225",13607338982,https://g.page/Elizabethstation?share,48.7577174757021,-122.490123030894,Grocery Store
Greene's Corner,"2208 James St, Bellingham, WA 98225",13603068137,https://g.page/GreenesCorner?share,48.7595405787055,-122.463995688565,Grocery Store
Cordata Co-op,"315 Westerly Rd, Bellingham, WA 98226",13607348158,https://g.page/community-food-co-op-cordata?share,48.7916602150726,-122.49124727377,Grocery Store
Downtown Co-op,"1220 N Forest St, Bellingham, WA 98225",13607348158,https://g.page/community-food-co-op-downtown?share,48.7474193182121,-122.47579871925,Grocery Store
Fiamma Burger,"1309 Railroad Ave, Bellingham WA 98225",13607337374,https://g.page/fiammaburger?share,48.7497725566447,-122.477416890414,Restaurant // Tap Room
Dark Tower Games,"1431 Railroad Ave, Bellingham, WA 98225",13605995127,https://g.page/DarkTowerGames?share,48.7511984870534,-122.474967811853,Restaurant // Tap Room
Cafe Rumba,"1140 N State Street, Bellingham, WA 98225",13607468280,https://goo.gl/maps/Ta1hSRzrMpyvJjYz5,48.7470515935903,-122.478752367126,Restaurant // Tap Room
Temple Bar,"306 W Champion St, Bellingham, WA 98225",13606768660,https://goo.gl/maps/zYCkJNMR83RgsV1B6,48.7521503062238,-122.479765895962,Grocery Store
Target Bellingham,"30 Bellis Fair Pkwy, Bellingham, WA 98226",13607340220,https://goo.gl/maps/eubXUEDuEDPzGL43A,48.7870996122019,-122.493341324797,Grocery Store
Rock Bay Cafe,"225 Spring St, Friday Harbor, WA 98250",13603785051,https://g.page/RockyBayCafe?share,48.5342943358139,-123.016830344201,Restaurant // Tap Room
Woolley Market,"829 Metcalf St, Sedro-Woolley, WA 98284",13608994058,https://goo.gl/maps/zyBFR3ceTcn4VzTG7,48.503651155914,-122.238483145695,Grocery Store
Samish Bay Cheese,"15115 Bow Hill Rd, Bow, WA 98232",13607666707,https://goo.gl/maps/ag8jX6RYQGVdWk7H6,48.5655293783339,-122.419816028502,Grocery Store
Railroad Pub and Pizza,"122 S Spruce St, Burlington, WA 98233",13609822133,https://g.page/railroadpizza?share,48.4751840203922,-122.330394170833,Restaurant // Tap Room
Island Market,"469 Market St, Eastsound, WA 98245",13603766000,https://goo.gl/maps/dwwuESfCi4YB2xPx8,48.6955199679719,-122.904471613155,Grocery Store
Haggen Mount Vernon,"2601 E Division St, Mt Vernon, WA 98274",13608486999,https://goo.gl/maps/fLqxjWSTx7H18VJn7,48.422042961171,-122.307561957341,Grocery Store
Haggen Burlington,"757 Haggen Dr, Burlington, WA 98233",13608141500,https://goo.gl/maps/HW42M5Y3yo4KtKeEA,48.4696120146249,-122.338352015011,Grocery Store
Haggen Oak Harbor,"31565 WA-20 #1, Oak Harbor, WA 98277",13606798058,https://goo.gl/maps/NipRfsDspJ8ahCwb8,48.2894359451508,-122.659247484331,Grocery Store
Skagit Valley Food Co Op,"202 S First St, Mount Vernon, WA 98273",13603369777,https://goo.gl/maps/7ERDBqoxueRvYv6o8,48.4211447822695,-122.336627103369,Grocery Store
Craft Wine and Beer,"22 Martin St, Reno, NV 89509",17756224333,https://goo.gl/maps/Wco8H5JJ2kMLcdd56,39.5153145853774,-119.807947192505,Grocery Store
